id,straight_distance,network_distance,weekly_pa,sex,age,ses
1,433,904,292,Male,36,V
2,62,257,295,Male,50,I
3,296,341,303,Male,43,III
4,341,682,305,Male,58,V
5,233,257,271,Female,60,I
6,214,279,296,Male,38,III
7,188,377,315,Female,52,V
8,266,755,262,Male,68,III
9,148,599,278,Female,54,III
10,503,791,280,Male,51,III
11,226,647,260,Male,42,IV
12,149,551,277,Male,68,III
13,265,756,315,Male,24,I
14,213,381,262,Male,45,IV
15,574,973,273,Female,30,III
16,174,477,300,Male,43,I
17,403,703,327,Male,55,III
18,196,431,314,Male,44,I
19,347,570,333,Female,51,IV
20,174,275,333,Female,36,III
21,184,589,285,Female,58,IV
22,484,675,264,Female,55,IV
23,165,463,311,Male,43,IV
24,388,856,284,Male,49,V
25,110,324,349,Female,32,I
26,210,455,307,Male,54,II
27,249,332,301,Male,59,III
28,261,786,280,Female,79,II
29,546,999,265,Male,42,III
30,267,346,271,Male,43,II
31,231,750,273,Female,62,I
32,136,605,207,Female,57,III
33,460,636,266,Female,28,IV
34,446,871,295,Male,38,III
35,179,387,304,Male,81,IV
36,143,493,250,Female,42,I
37,119,463,302,Male,43,III
38,260,523,263,Female,75,IV
39,197,272,250,Female,62,III
40,476,699,296,Female,46,I
41,267,799,257,Female,56,II
42,1000,1000,300,Male,31,II
43,927,1082,291,Male,59,III
44,526,862,300,Female,72,IV
45,727,1041,215,Male,30,V
46,429,1082,355,Male,55,III
47,35,421,310,Female,36,I
48,418,628,285,Male,23,I
49,465,728,266,Male,46,II
50,596,1138,271,Female,44,IV
51,290,680,335,Male,40,IV
52,104,655,331,Female,45,I
53,523,1025,319,Female,71,II
54,271,355,261,Female,32,II
55,183,394,322,Male,67,V
56,460,1001,276,Male,53,V
57,641,863,299,Male,43,V
58,182,340,298,Female,60,III
59,674,932,320,Male,57,I
60,712,1044,226,Female,61,III
61,239,430,291,Male,47,II
62,501,676,311,Female,37,IV
63,245,818,267,Male,57,V
64,1000,1216,348,Male,34,II
65,383,729,293,Male,42,IV
66,236,582,239,Male,65,III
67,159,353,320,Female,55,V
68,228,498,333,Female,48,I
69,153,513,319,Male,53,II
70,514,825,267,Female,55,IV
71,439,642,329,Female,59,III
72,626,923,310,Male,59,IV
73,691,1062,288,Female,54,I
74,237,593,332,Female,72,III
75,143,466,261,Female,49,II
76,249,584,300,Male,39,V
77,858,969,243,Male,46,II
78,521,763,294,Male,60,I
79,379,690,322,Female,27,II
80,96,291,283,Female,56,V
81,1000,1062,275,Female,47,IV
82,418,769,285,Male,50,II
83,150,420,346,Female,49,III
84,359,548,300,Female,57,III
